rating,ulasan,tanggal,nama_pengguna
negatif,"Nggak ada tunggakan apapun tiba-tiba narik auto debet gede banget. Iuran bulanannya seharusnya cuma 35k. Kemarin tanggal 5 Februari tiba-tiba ditarik 177k.. INI KENAPA WOY...???!!! RIBET BANGET LAGI KOMPLAIN NYA...!!! Gua tau kelebihan uang itu nggak akan lari kemana-mana,, tapi jangan seenaknya gitu dong. Bikin repot tau kalau tiba-tiba go-pay kosong..",5 Februari 2025,KP ERICSON CHANDRA
negatif,"Menurut saya sejak adanya aplikasi ini malah mempersulit masyarakat pengguna BPJS dengan cara daftar yg sulit, verifikasi SMS, wajah, dll sangat lama dengan sistem yg masih bobrok developer dengan bangga menerapkan sistem manajemen seperti ini yang tujuannya untuk mempermudah justru malah mempersulit. Evaluasi lagi ya aplikasinya agar tidak menjadi sampah seperti ini!",5 Februari 2025,Reiziq maulana
positif,"Bisa daftar online ke dokter, tapi setiap beberapa menit kok harus selalu login isi ID lagi ya.... mau isi survei lewat aplikasi mobile jkn sesuai info / permintaan petugas administrasi dokter keluarga, tapi aplikasi tidak mau / tidak bisa menyimpan survei yg telah diisi , jadi sy isi di ulasan gmap aja",8 Februari 2025,Emmy Endut
negatif,"Verifikasinya kenapa begini sih. Sudah lalod, setiap mau pendaftaran keluar ke email, terulang terus. Aplikasinya lalod. Coba ditingkatkan lagi",8 Februari 2025,Winda Mawaddah
negatif,"Aplikasi paling menyebalkan. Baru bulan kemarin di update skrg minta update mulu. Minta ganti pin melulu Kek apaan sih, ga bisa lebih baik apa. Dikit"" Update dikit"" Update Kalo ga butuh buat berobat ga kudu nginstall app ini",2 Maret 2025,Rosa Arianipurnomo
negatif,"Aplikasinya buruk sekali, mau verivikasi wajah gagal mulu, pdhl udh sering kli ttp aj gagal. No hp smua bener. Bkn mempermudah tpi mlh smakin sulit, di perbaiki dong di permudah aplikasinya.",4 Februari 2025,yanita dewi
negatif,"mudah tapi di ribetkan, face detection nya pas daftar gak fungsi, app keluar sendiri, kebanyakan update tapi gk ada fungsi setelah update",25 Maret 2025,Yulita Yuli
negatif,"Sepertinya aplikasi ini sudah ga ada yang mengawasi, tidak ada Maintenance... Terbukti untuk masuk ke aplikasi sulit sekali, tidak seperti waktu pertama aplikasi di buat. Mungkin butuh viral dulu.... Maklumlah aplikasi negara.",18 Februari 2025,octavianusify
negatif,"Saya kasih Bintang satu (1) dengan alasan: Sudah Beberapakali, sudah ratusan mau mendaftar kepesertaan di Aplikasi JKN ini susah betul. Sudah benar memasukan Nomr KK dan sudah benan memasukan capthca nya, tapi tetep susah masuk. Perbaiki lagi",12 Februari 2025,Imam Taufiq
negatif,"Jelek bgt aplikasi nya, masuk masuk udh sesuai KTP sm password tapi gabisa2. Masukin lupa sandi masih aja gbisa. Padahal email udah sesuai juga.",10 Februari 2025,Ai chan
positif,Mulai dari hari selasa tanggal 11 saya mau daftar ke faskes rujukan saya tidak bisa. Akun saya tiba tiba keluar sendiri terus saya mau masukkan lagi tidak bisa yang keluar malah saya di suruh daftarkan nik saya kembali ke layanan bpjs. Padahal saya sudah bertahun tahun daftar. Tolong di perbaiki lagi,14 Februari 2025,Nurul Najwa Fahira (Najwa)
negatif,"Tolong untuk solusinya saya selalu kendala saat mau login kali ini sudah satu minggu lebih saya tidak bisa login padahal mau saya gunakan, aplikasi terupdate, jaringan sinyal stabil tapi gagal terus login tolong di perbaiki lagi",8 Februari 2025,Permana Sidik
negatif,"halo ini nomor telfon sudah benar, tetapi kok belum dikirimin kode otp terus ya, ini aplikasi apa coba kode otp belum dikirim2, saya udh coba 3 bulan tapi sampe sekarang belum dikirim kode otp via nomor telfon wkwkwk, aplikasi kocak",22 Februari 2025,I Putu Ananda Putra Riadi
positif,"Mengapa setiap bulan harus dounliad aplikasi sedang sudah d douloud, pemulihan , aplikasi lain sudah d hapus sedangkan itu penting tetap saja g bisa, coba jika petbarui ram lebih kecil jgn harus padien beli hp baru buat aplikasi jelek ini",10 Februari 2025,Dedik Kurniawan
negatif,"Tiap mau buka aplikasi susah banget, setiap mau buka aplikasinya yg keluar cuma layar putih, ga ada loading ga ada tanda apa²... Tolong diperbaiki lah",7 Februari 2025,Rizka Restu Yuliwarman
negatif,"Mau daftar aja ribetnya, scan wajah gagal terus padahal udah sesuai, cahaya bagus, gak pakai aksesoris, terus sms notifikasi juga gak muncul",17 Februari 2025,Shiro Neko
positif,"Kenapa ya, Beres daftar ada tulisan akun ada belum terverifikasi, Sekali nya mau verifikasi via scan wajah selalu gagal, lewat no hp, katanya no hp kosong, nyoba lewat email ga bisa slalu di arahinnya lewat no hp",5 Februari 2025,Aray Hungkul
positif,"Diperbaiki lagi, jika pindah faskes itu untuk verifikasi wajah selalu gagal dan aplikasi gak support. Setiap kali perbaikan harus masuk ulang, ganggu banget.",13 Februari 2025,Amorata Minerva
negatif,"please lah kurangnya update mulu, ini aplikasi kesehatan malah menyusahkan pengguna. mana kalo ga update, ga bisa dipake aplikasinya. sekarang hampir semua rumah sakit, mewajibkan pendaftaran menggunakan apk ini, tolonglah kurangi updatenya",17 Maret 2025,Asha Audia
positif,"Aplikasinya belum bisa digunakan sampai sekarang karena verifikasi wajah selalu gagal, tolong lah dengan sangat cukup lewat email atau SMS atau apapun itu yang lebih mudah",10 Februari 2025,Nor Fadilah Zilni
negatif,"Aplikasi ampas,, log out terus tiap mau buka. Kerjasama dg penyedia mana aplikasi ini. Dikit2 Log in dr awal,, harus ketik pin. Sering error. Ngalahin aplikasi keuangan",2 Februari 2025,Nuroyah Bustan
negatif,"Kenapa sekarang fitur masuk pakai nik & password ? Sudah di ISI BENAR tapi gagal terus tolong jawab kenapa bisa sulit login ?? Saya mau daftar ke klinik jadi sulit , sedang ke klinik wajib pake apk ini😭 Sementara bintang 1 krn gak fungsi nanti bisa bintang lima jika berhasil",9 Februari 2025,UCU SUPARNO
negatif,"Saya mau verifikasi tapi tidak bisa karena no hp nya bisa ke ubah angka depannya, tolong dong jangan di persulit masa daftar pake no yang bener pas mau registrasi no nya tiba² ke ganti sendiri angka depannya",20 Februari 2025,Dika Al Kahpi
positif,"Tak kasih bintang 3 dulu,verifikasi akun via sms juga susah minta ampun sampai sekarang belum berhasil... Tak ada sms OTP yg muncul sampai detik ini... Mohon pihak pengembang untuk segera melakukan perbaikan.",2 Februari 2025,AMANN78 M
negatif,Aplikasi apaan ini mau bayar aja susah apalagi mau dptar...harus ny pemerintah itu lebih pinter ..mencari orang pintar...untuk membuat sebuah aplikasi.. jengkel gua mau masuk aja susahhh ..ruuuuweeeett bner perasaan gua....,5 Februari 2025,Mitra karya rajawali Rajawali
negatif,"Ini kenapa ya.. saat verifikasi wajah gak bisa,verifikasi no.hp juga gak bisa terus. Padahal paket data juga ada, jaringan jg bagus tak kk gak bisa""",8 Februari 2025,Lestari Hesti puji
negatif,"Mending gak usah download aplikasi ini Gak ada gunanya sama sekali. Nunggu kode OTP buat daftar aja setengah mati. Trus pas Verivikasi wajah katanya kurang terang, padahal cahaya udah hampir seterang cahaya ilahi. Kalau gak bisa mending gak usah pake aplikasi, gaya-gayaan doang. Giliran Update sekali seminggu, padahal gak ada yang dibenerin. Malah makin Ruwet.",3 Maret 2025,Yerson Lombu
negatif,"baru bikin akun jkn mobil sudah jadi, pas mau login harus verifikasi muka, tapi gagal trus via sms/email keterangan belom terdaftar. padahal saya sudah mengerjakan sesuai instruksi ketentuan dr jkn mobil trsbt. saran saya jangan dipersulit min. dulu ngga kaya2 gini amat simple sekarang ko kaya gini, makin kesana makin ngga karuan nih jkn mobile",21 Februari 2025,Kay Konsisten
positif,"jadi ini gimana. mau masuk hrus daftar dulu. sudah daftar verifikasi email sukses bikin pin keamanan sudah. nah giliran verifikasi no hp. kode otp y dr siang smp malem gak di kirim,padahal tertera silahkan masukan kode otp yg di kirim via sms. giliran email langsung masuk kode otp y. jadi kok muter muter. mohon solusinya gmn ini ?",6 Februari 2025,Ryann Technician
negatif,"aneh nih sistemnya, saya baru daftar akun tapi malah nomor yang terdaftar gak tau nomor siapa, mau verifikasi akun harus via nomor hp, makin ribet malah mau ganti nomor dibikin lebih ribet..",3 Februari 2025,M. Firizqi Ramadian
negatif,"Aplikasi sampah ga jelas, sering error. Mau daftar keterangan antrian padahal sdh daftar 1 hari sebelumnya dan di pagi hari. Kalau ga bs buat aplikasi mending ga usah pakai aplikasi mempersulit orang",14 Februari 2025,Hebat Parlindungan
negatif,"Aplikasi gak jelas.. Udah masuk tiba"" Keluar sendiri.. Udah daftar suruh daftar lagi.. Di suruh login tapi pasword salah padhl udah bener.. Gk bisa di verifikasi",2 Februari 2025,Hanifah Ulya
negatif,Kenapa harus ada pending sistem ketika kita nunggak biaya dan setelah dilunasi tetap pending... jatuhnya kayak kita dipaksa buat bayar Tanpa bisa langsung pakai .. kalau dalam keadaan darurat gimana...malah nyusahin rakyat aja,13 Februari 2025,Andhika CBP
positif,"Maaf min, kasih bintang 4 dulu karena ada kendala, salah satunya saat pergantian faskes, alamat yang muncul di kartu jadi berbeda gitu ya. Padahal dalam input data sudah benar. Mohon diperbaiki min. Terima kasih",10 Februari 2025,Kang Miftah
negatif,Untuk verifikasi wajah menyulitkan pengguna banget. Diapus aja itu daripada nyusahin. Udh berulang kali gagal terus. Mau sama banget wajahnya sama foto yg di KTP ya susah.. wajah orang tiap tahun berubah. Style gaya or make up juga berubah gimana seh. Ini mobile jkn sama jmo sama aja nyusahin..,3 Februari 2025,Febri Rani
negatif,Baru di update beberapa Minggu yg lalu terus sekarang pas mau di buka harus update lagi waktu itu juga seperti ini baru 2 Minggu di update dibuka lagi udh harus update lagi gimna ya ini hari hari update trs padhl ngak ada yg berubah juga,9 Maret 2025,Yunita Putr30
negatif,"Tiap mau verifikasi ke emailbuka email dr android, begitu buka email aplikasinya ke restart dr awal.. begitu terus.. developer aplikasi ngapain aja????",4 Februari 2025,berry maulana
positif,"Kenapa akun saya setiap kali daftar antrian online ke FKTP selalu ada pesan; ""Kembali. Permintaan anda tidak diizinkan"" Tapi untuk ke FKTL (rujukan) selalu bisa setelah diinput manual di FKTP? Mohon jawaban dan solusinya. Trims.",12 Februari 2025,Roedi Loebas
negatif,"Verifikasinya susah banget padahal waktu daftar JKN terkirim verikasinya waktu dibuka terkunci semua harus verifikasi lagi pdahal nomer hp masih aktif disuruh verifikasi lagi sudah menghubungi Pandawa disuruh yang tertera didalam Pandawa terus berhasil juga disuruh nunggu sehari masih aja belum bales tentang verifikasi itu, harus bagaimana lagi nunggu verifikasinya itu.. Harusnya kalau ada layanan online gitu mempermudah masyarakat tolong perbaikannya bapak/ibu yang bertugas terimakasih🙏🙏🙏",10 Februari 2025,Warna Sukma nana
positif,"Terus upgrade, lancar, ganti faskes proses cepat, apabila tidak bisa pakai wajah bisa pakai pin. Semoga terus berkembang aplikasi JKN kedepannya",16 Februari 2025,Ayu Damayanti
positif,"Maaf min, ini setelah login tiba-tiba ke logout. Terus sekarang waktu login lagi kan harus verifikasi akun. Tapi kode OTPnya tidak masuk ke nomor saya lewat sms. Sudah 5x kirim ulang kode tetap tidak ada kodenya 🙏🏻",7 Februari 2025,Hanna Haru
negatif,"untuk verifikasi OTP sangat menjengkelkan, diharapkan untuk improve kedepan mengenai verifikasi OTP ditambah melalui via whatsapp saja agar tidak memakan biaya ketika lupa sandi dan ingin mengganti sandi. Anda membuat platform aplikasi digital, untuk memudahkan bukan?",19 Februari 2025,BREXZZY
negatif,"Aplikasi ini sebenarnya sangat membantu, tapi saat pendaftaran terjadi kegagalan terus. Mohon untuk diperbaiki sistem aplikasi agar kami menggunakannya dengan mudah.",17 Februari 2025,Turilah Tuba
negatif,"Tidak bisa mengklik mendaftar antrian untuk esok hari jika hari ini sudah terdaftar, sedangkan besok jadwal saya kontrol juga, ketentuan di faskesnya mendaftar harus H-1, sedangkan ini tidak bisa di klik untuk besok,seharusnya bisa di sesuaikan sehari minimal 1 kali konsul dengan tanggal yang berbeda",10 Februari 2025,Diaz
negatif,"GK bisa Nerima kode verifikasi,males banget,kalo emang di suruh harus daftar online,atau musim nya daftar online sekarang minimal benerin lah ni apk,banyak banget masalahnya,serasa di persulit mau apapun juga sekarang mah",26 Februari 2025,Iman Uuy
negatif,"Verifikasi wajah aja susah, notifikasi no hp tidak masuk sulit g masuk2, tlng di perbaiki, klo g ttup aja aplikasinya krena tidak mmpermudah malah mempersulit,..",4 Februari 2025,X-Hale DIYs
negatif,"Sudah berkali kali selalu tidak ada sms yang terkirim dari verifikasi nomer telpon, sudah saya pasti kan nomer nya bener per digit lama nunggu tau nya proses pendaftaran mengalami kegagalan. Ada apa ini ya ?",20 Februari 2025,Jiddan Danne
negatif,"Mau berobat saja harus ini itu, masukan nomer HP lah, sudah di masukan no HP gak masuk masuk, di suruh pilih salah satu metode di bawah ini, nyatanya juga gak keluar keluar, capek harus bolak balik rumah sakit karena data gak masuk.",8 Februari 2025,Anang Aris
positif,"Dengan adanya aplikasi ini harusnya mempermudah semua orang untuk mengaksesnya,tapi kenyataannya mau merubah faskes aja dipersulit harus ini itu dan bahkan tidak bisa memulai. Salam sehat",13 Februari 2025,Hyronims L
negatif,Kenapa setelah diupgrade kok gak bisa dibuka(aplikasi berhenti)... Tolong perbaiki... Untuk android versi lama minimal android 7 .. Please,2 Februari 2025,alpha sonic
negatif,"Gimana c mau dftar aja susah bgt,verifikasi wjah ga bisa²...mau ganti no hp harus klik link dlu,udh gt ga bisa juga...tolong donk dperbaiki,mau niat bantu ga c...baru x ini verifikasi susah'y mnta ampun",11 Februari 2025,Husna Maulidia
negatif,"Buruk seharusnya bisa memudahkan masyarakat, tetapi malah menyusahkan masyarakat,saya mau daftar malah no nik tidak terdaftar padahal sudah terdaftar,tolong di perbaiki lagi untuk aplikasi nya",19 Februari 2025,Tio Pelus
negatif,Niatnya ingin seperti negara negara maju yang serba online dan memakai tekhnologi tapi kayaknya belum siap di negara kita tercinta ini. Pemerintahnya aja belum siap seperti hal nya aplikasi ini bisa dikatakan belum siap dari segalanya.,10 Februari 2025,angga novian
negatif,"Lambat lelet,daftar gagal. Sulit pakai aplikasi ini. Udah coba berulang kali. Setiap hari coba lagi ga bisa juga. Banyak lah masalah di aplikasi ini. Payah",7 Februari 2025,I Rumn
negatif,"Aplikasi gk jls, stelah update mlah jd ancur.. gk bs kebuka samsek pdhl kuota byk, sinyal bgs, btuh waktu berhari-hari untuk bs msuk, stelah msuk mlah mnta verifikasi wajah & sllu gagal.. 100 jempol buat aplikasi ini 👍",3 Februari 2025,Dody Dewantara
negatif,"Aplikasi setan masa tiap bulan update melulu terus harus log in ulang, gimana yg sudah tua udah lupa paswordnya...kok musti update melulu siiih..yang bener wooi jgn mempersulit? sudah kita bayar dipersulit lagi",19 Februari 2025,Yadi Supriyadi
positif,"Verifikasi wajah belum berhasil, meskipun sudah memenuhi semua syarat & ketentuan, bahkan sudah masuk ke tahap konfirmasi. Mohon hal ini menjadi perhatian utk di upgrade lagi.",6 Februari 2025,Merni Abinadel Agustini
negatif,"Mau daftar juga susah, masa ga bisa veryfikasi no tlph terus. Sama veryfikasi wajah gagal terus. Masa daftar atau perekaman wajah harus ke kantor dlu. Mohon penjelasannya.",4 Februari 2025,Cecep Sopyan
negatif,"ini tuh gimana sih, mau verifikasi aja susah bgt, no hp udah sesuai, aktif, sinyal ada, tapi kok ga ada sms buat kode verifikasi yg masuk? sampe ganti2 no hp tapi ttp aja sama ga bisa masuk sms, tolong dong gimana yaaaa???",4 Februari 2025,Dita Alifiaa
positif,Kanapa ya saat aplikasinya dibuat ganda bisa. Tapi saat di buka kok error terus. Langsung nutup. Padahal aplikasi lainnya normal.,3 Februari 2025,Agus Dwipoyono
positif,Sudah cape2 Nelpon 165. Terus di suruh WhatsApp pandawa ..saya japri suruh isi formulir . setelah di isi .. Alhamdulillah sudah berhasil di perbarui ..eh aplikasi malah ga bisa di pake ..hadeh.gmn sih ini,15 Februari 2025,Yadi Betta
negatif,"Susah buat verifikasi wajah,bukan mempermudah malah mempersulit, padahal tiap bulan kita bayar iuran,apa lagi sekarang di jadikan persyaratan administrasi,tapi aplikasinya mempersulit penggunaannya.",20 Februari 2025,Esih Sukaesih
negatif,"halah ribet sekali verifikasinya kode otpnya jg gk dikirim kirim padahal nomor sudah benar, apakah gunanya ini aplikasi? jelek skli bukannya mempermudah malah mempersusah gajelas.",24 Februari 2025,Imah Nurqalbimukrimahimah
negatif,"Ini sampai kapan kita tunggu agar kode otp di kirim ke sma,padahal nomor sudah benar dan masih aktiv,sedangkan kode otp melalui email cepat di kirim kode nya,aplikasi mempersulit rakyat,",7 Maret 2025,Erwin Stone
negatif,"bukannya dipermudah, fitur verif muka malah mempersulit, disuruh verif ditempat yg terang biar keliatan jelas, udh ditempat terang pun gagal verif mulu, perbaiki lah fiturnya, kasian org yg udh tua bingung kl mau daftar jg",3 Februari 2025,Ervin Cahyanaa
negatif,"Aplikasi pemerintah seperti ini payahh...di update malah terkunci semua harus masuk ulang lagi...apa apan,, mempersulit bukan mempermudah....udah daftar nya ribett lagi...payah payhh...",2 Februari 2025,Gunawan Guns
negatif,"Sangat sangat tidak rekomendasi, aplikasi macam apa ini? Terlalu banyak verifikasi. Masa seribet itu sih? Ini untuk berobat loh. Seharusnya memudahkan, masa aplikasi BPJS kalah dari aplikasi lain, aaah menyebalkan",24 Februari 2025,Dasril Piliang
negatif,terlalu banyak minta verivikasi. pulsa sy penuh kode otp tidak muncul jg. yg ada ngehabisin pulsa. verivikasi melalui scan wajah gagal terus. knp susah kali??? tolonglah,26 Februari 2025,ummy salma
negatif,"Kenapa lama banget ya buka apk JKN MOBILE nya sudah di uptude, wifi lancar, kuota lancar, tapi kenapa lama banget tolong developer di usaha kan biar engga lama kalau buka apk JKN MOBILE NYA.",4 Februari 2025,Putra Ramdani
negatif,"Verifikasi wajahnya kok susah banget ya, sudah ikut instruksi hadap kanan kiri disuruh senyumlah kediplah tapi tetap aja gagal terus, tolong dong dipermudah soalnya ini menyangkut kesehatan",3 Februari 2025,Fansa JM
positif,"Bagaimana cara menghapus antrian pendaftaran padahal sudah cek in dan terlaksana tapi malah statusnya masih antri, mau dihapus tidak bisa padahal harus booking lagi buat kontrol.. Mohon penjelasannya bagaimana",10 Februari 2025,m bayu aji p
negatif,"Lama² nyusahin masarakat. Ambil antrian pasien wajib makek apk jkn. Tapi kalo rujukan mau habis gak bisa daftar, sedangkan mau daftar kurang seminggu pasien penuh terus. Preett",16 Februari 2025,Heri
negatif,"Sudah punya akun, tapi terlogout sendiri dan tidak bisa login lagi, akun hilang disuruh daftar lagi. Kocak gaming . Yang kasih rating bagus cuma buzzer",12 Februari 2025,Irwansyah Irwansyah
negatif,Gimana sih ini login gak bisa masuk sudah isi nik KTP pasword dan kode captcha nya pas di klik masuk gak bisa aplikasi aneh tolong di perbaiki masalah masuk nya,14 Februari 2025,Muhammad Rizki Maulana
positif,"Akses mudah,sedikit masukkan untuk kode otp masuk ke sms tanpa pulsa saja agr mempermudah aksesnya..",6 Februari 2025,khairun nisa
positif,"Sangat membantu. Begitu mudah untuk mengurus sesuatu yg berkaitan dgnya. Saya&keluarga mindah faskes juga mudah, hanya saja waktu tunggunya kurleb 1bulan.",4 Februari 2025,natasia ariyanta
negatif,"Aplikasi aneh, aplikasi negara namun sangat sulit untuk login ataupun pun ferivikasi lain nya, mungkin jika ke kantor dan membawa amplop berisi uang akan lebih mudah, terimakasih.",16 Februari 2025,angga dewi
positif,"sangat cepat dalam pemrosesan data,akurat dan tidak ada pungutan biaya, terimakasih banyak,memudahkan untuk tidak ke kantor bpjs tapi melalui aplikasi ini hampir semua tentang kesehatan tersedia",20 Februari 2025,Angel Christina
negatif,Mudah digunakan tapi yang bikin heran ya untuk pemindahan ke klinik lain tidak langsung bisa menimal 1 bulan..ini menimal 3 bulan / 6 bulan sekali baru bisa update pemindahan klinik ....,17 Februari 2025,Gibran Nugraha
negatif,"aplikasi kurang bagus karena untuk daftar saja sulitbukan main ribet, sudah diulang sudah benar ujung2nya salah dan minta maaf....kecewa aplikasi busuk kurang bagus untuk daftar saja dipersulit banyak syarat",9 Februari 2025,Thoyib Bahri
negatif,"Ga usa banyak fitur. untuk buat janji dokter aj ga beres. Tolong lah duit rakyat jgn buat korupsi dalih2 pengembangan fitur ini itu sgala. Yg jadi peserta itu banyak dan ga semua melek teknologi. Ada orang yg gaptek, ada yg udah lawas. Buat aplikasi yg bener. Make sure bs di pakai semua kalangan. Make it simple. DISEDERHANAKAN!!!",5 Februari 2025,andre bunardi
negatif,"Aplikasi sampahhhhh verifikasi wajah susah banget padahal sudah di tempat yg terang, leletnya minta ampun padahal jaringan bagus gak recom bnget sama aplikasi ini bikin emosi",24 Februari 2025,821721 Darwani
positif,"Top, perlu perbaikan saja ketika pengiriman kode OTP kadang tidak ada sms sma sekali kadang lama, saran opsinya diperbanyak seperti melalui telfon atau wa, terimakasih",22 Februari 2025,A. Madani
negatif,"Sudah bolak balik verifikasi wajah sampe modok gak jadi jadi, mendingan gak usah ada ini apps kalo pada akhirnya harus ke kantor BPJS lagi untuk verifikasi wajah, kayanya saya hapus saja apps ini 🥲",19 Februari 2025,Delfi Ganna
negatif,"Aplikasi korup, verifikasi aja harus pake pulsa pribadi.. kliatan sekali tidak mau rugi, maunya uang aja, sudah pelayanan dipersulit, akses aplikasi juga dipersulit",8 Februari 2025,Raka Wiradarma
negatif,"aplikasi tidak bekerja dengan baik, mau verifikasi harusnya gratis. daftar sudah lewat verifikasi sms, mau ambil antrean akun harus verifikasi. emang aplikasi belum maksimal udah dipake aja. diperbaiki lagi deh",10 Februari 2025,diego vngr
negatif,"Gak bisa verifikasi wajah, aplikasi pemerintah emang ribet doang. Udah coba di beberapa hp masih aja sama gabisa scan wajah",22 Februari 2025,Yangyang Aryana
negatif,"Entah saya aja yg gunakan aplkasi ini agak lama loading ya, Entah yanf lain? Mau verifikasi, lama bgt, berulang², nyedot pulsa biasa (bukan paket data) karena verifikasi via SMS...",5 Februari 2025,Ika Rennawati
negatif,"Kenapa aplikasi nya jelek bangettt? Belum bisa diproses terusss, minta verifikasi no hp aja susah gabisa terus, susah banget buat login jadi susah kalo mo berobat",24 Februari 2025,noonday art
negatif,"Tolong segera perbaiki, mau merubah lokasi faskes susahnya minta ampun. Udah habisin pulsa buat kirim otp SMS tidak juga berhasil.",1 Februari 2025,Fauzi Hendrawan
negatif,"Aplikasi gak berguna , mau verifikasi nomor handphone aja susah bener. Minta kode otp tapi kode nya GK dikirim kan tolol, bangun aplikasi sampah kekgini cuma ngabisin anggaran negara aja Kelen. Pendaftaran mudah tapi Kelen persulit dengan aplikasi tidak berbobot kekgini",15 Februari 2025,Kevin Pandjaitan
negatif,Aplikasi baru ko.jelek banget sih.mau masuk ke aplikasi tidak bisa . ..pake wifi atau kuato internet alasannya tidak ada jaringan internet....,14 Februari 2025,Riskina Kina
negatif,"Apk aneh, registrasi pake no hp harus ada pulsanya dah gitu si otp nya ga ke kirim kirim.. aturan biasanya pake email juga bisa ni ga adaan ... Sampah bener",11 Februari 2025,Daud Ibrahim Hasan Al Aziz
positif,"Tolong lah, kenapa punya saya selalu keluar sendiri akunnya, dan ketika mau masuk lagi dengan cara 'masuk'tidak bisa, nik dan password salah, padahal sudah benar",13 Februari 2025,Tohreyani Iya
negatif,"Pendaftaran susah semua d arahkan kesini masak verifikasi pendaftaran no hp tidak di kirim padahal sudah menunggu lama, kalau gak mampu aplikasinya jangan d bikin ribet",13 Februari 2025,Yokto Negarindo
negatif,"selamat anda memasuki jaman paling susah !! pembuat aplikasi yang kurang piknik atau pemerintah yang meribetkan kami kurang tau ,verifikasi wajah menjengkelkan!!!! sudah mengikuti arahan diluar ruangan yang terang tetap saja gagal",2 Februari 2025,B udi
negatif,"susah melakukan verifikasi wajah dan nomor telepon, tolong dong ini apknya diperbaiki lagi sudah 4jam lebih saya mencoba untuk verifikasi tapi selalu gagal terus, kode verifikasi pun masuknya lama sekali",2 Februari 2025,Febiola Kusuma Wardani
positif,Tolong dong dari pihak jkn untuk pendaftaran yg baru perpanjang rujukan kan ngga bisa online dan harus daftar manual sedangkan pendaftaraan manual baru bisa dilayani setelah yg daftar online beres yg jadi masalah nya sehari kepoli dibatas 30 pasien nah gmn nasib pasien yg manual klo setiap datang ngga pernah kebagian kuota karna prioritas yg online? Klo bikin aturan yg adil dong dan tidak semua org mampu beli smartphone,5 Februari 2025,Moh Parlihin
negatif,"Apaan susah banget verifikasi, tiap buka aplikasi harus masuk ulang... Aplikasi pemerintah yang paling ngga banget. Buat yang lebih bagus dong",3 Februari 2025,Soya Tupai
negatif,"Aneh banget aplikasinya mau daftar buat akun verifikasinya gagal terus sampe 1 jam lebih pun sama, padahal pencahayaan sudah cukup",6 Februari 2025,Nida Qurbaniah Juhara
negatif,Tolong dong aplikasinya di benerin berikan kemudahan pada pengguna. Di proses registrasi/ daftar akun ada fitur pengenalan wajah yang ribet dan sering gagal. Berilah kemudahan kepada pengguna.,2 Februari 2025,Adi Bayu
negatif,"Tidak bisa mendaftar, selalu ada notifikasi system bermasalah. Tolong maintenance lagi apk nya min",4 Februari 2025,ANSORI M.A
positif,"Respon aplikasi JKN sangat cepat, akan tetapi tetap saya sarankan untuk penggunaan antrian online dan offline agar segera di perbaiki. Karena terkadang aplikasi tidak sesuai dengan nomor antrian online",13 Februari 2025,Elesha
positif,"Kenapa sekarang mau dftr online ga bisa dalam pengisian keluhan, padahal tidak ada simbol karakter yg saya cantumkan, tapi ttep ajah tulisannya bla bla bla, mohon perbaiki.",14 Februari 2025,Hilda Fauziah
negatif,"Jelek bgt aplikasinya makin kesini, susah bgt mau verifikasi no hp, ""pilih salah satu metode verifikasi dibawah ini "" Tapi gak ada yang bisa dipilih buat diklik",3 Februari 2025,Riska Handayani
negatif,#ribet sekarang pendaftaran harus lewat aplikasi. aplikasi yg di daftarkan nga bisa Mulu. coba hubungi cs nya belum ada jawaban sampai sekarang. bayaran klo telat nga d proses di RS nya.,14 Februari 2025,Indra Utama
negatif,"Apk butut bgt jir, bug banyak, serba 404, padahal bikin apk kecil kayak gini ga susah, kalo gamampu ngurus apk kecil gini mending hire software house, tahun ke tahun gada perubahan, kemanalah uang rakyat itu",7 Februari 2025,Diya Gabriel
negatif,Apk payah menunggu notifikasi nomor verifikasi aja lama.. itu aja gak kekirim ke pesan masuk sampai aku ulangi terus tetep aja gak bisa..!!!!,15 Februari 2025,Muhammad Mazderr
negatif,Aplikasi nya jelek . Mau berobat aja di persulit .. gue bayar iuran bpjs ye di potong gaji tiap bulan nya .. jadi gak ada tuh gue geratisan . Tolong donk aplikasi nya di perbaiki . Jangan terima duit nya aja getol 😆😆😆,11 Februari 2025,Kristanti Ratna
negatif,"Gak jelas aplikasi ini!.. verifikasi wajah ngga bisa padahal muka sudah jelas, terang. Tapi disuru ulang ulang terus dan sampai sekarang GK bisa",7 Februari 2025,Yusuf
negatif,"Apk busuk , mau masuk/daftar data sudah di isi lanjut di suruh verifikasi wajah , udah verifikasi wajah tetapi selalu gagal , padahal lokasi terang tidak gelap . Aneh",19 Februari 2025,Jhems Chanel
negatif,"Mau verivikasi susah ,ada aplikasi bukannya mempermudah malah mempersulit ,percuma bikin aplikasi kalau ngga berfungsi dengan baik.",1 Februari 2025,Kris Tian
negatif,"Pengembangnya jadi pertanyaan, perdana smartfrend tidak bisa mendaftar malah terdetek no salah, karna smartfrend no awalnya 088 jadi masalah di aplikasi ini,",3 Februari 2025,Maesa Kersa
negatif,"Apk nya menyulitkan saja, diminta verifikasi kode tapi enggak di kirim kn kodenya ke nomor atau email. Udah di tunggu Berjam"" tetap tidak bisa. Sangat menghambat sekali",17 Februari 2025,dewi masyita
